metric,comparison,n_pairs,n_dropped_nan,mean_diff,wilcoxon_p,holm_p,ci95_low,ci95_high,ci_excludes_zero,status
faithfulness,baseline vs reranker,80,20,0.0374702380952381,0.39827872310263623,0.7965574462052725,-0.05236086309523809,0.12645833333333334,False,n.s.
faithfulness,reranker vs agentic,79,21,0.04602169981916817,0.49358524021753203,0.7965574462052725,-0.058232368896925873,0.14937763713080154,False,n.s.
faithfulness,baseline vs agentic,76,24,0.07850877192982457,0.11037550829764954,0.33112652489294864,-0.02587719298245614,0.17982456140350878,False,n.s.
answer_relevancy,baseline vs reranker,100,0,0.029543129158447305,0.8509580195100153,0.8509580195100153,-0.01852307253962307,0.08068393716725633,False,n.s.
answer_relevancy,reranker vs agentic,100,0,0.21939005724950675,1.6633793695780822e-05,3.3267587391561645e-05,0.13241379527680225,0.30754027319464283,True,robust
answer_relevancy,baseline vs agentic,100,0,0.24893318640795403,1.0139243612810382e-06,3.0417730838431147e-06,0.1670541943210202,0.3342136057667439,True,robust
context_precision,baseline vs reranker,100,0,-0.006421532501821232,0.9700606119902592,0.9700606119902592,-0.0480056937336735,0.03311845473975362,False,n.s.
context_precision,reranker vs agentic,100,0,0.02572563932430196,0.13397704372938793,0.4019311311881638,-0.0012423693819701208,0.057905001643253635,False,n.s.
context_precision,baseline vs agentic,100,0,0.019304106822480734,0.4292357649668228,0.8584715299336456,-0.030119191705236602,0.06844212883115201,False,n.s.
